user_id,username,first_name,last_name,password,email,active_status,admin,new
1,JSmith112,John,Smith,$2a$12$l5kJ4GY8Tjs1OafYrH57keHITE1lYtQKKLo7jrVgippgX5HZBqQe2,john.smith12@intranet.com,0,0,0
2,AMynn3,Adh,Mynn,$2a$12$.tWAdevg3fc3R6ts1IKPluI/t7rhtsTcZLCa1lDI2xzKAVyBZhf1a,adh.mynn@intranet.com,1,0,0
3,BBob00,Bob,Bob,$2a$12$L/RL.8vf0YYGgCM45.bgnOLYTL48x9G.0dom1xhYpMNPpKLKwaZTC,bob.bob@intranet.com,0,0,1
4,WMcGee05,Worker,McGee,$2a$12$1Ns6.Eb/E3MaEntBbh0PK.uL.7uFVN/R/DNKUMjQs5n3YOJtFjfom,contractor.worker.mcgee@intranet.com,1,0,0
5,DBaker45,Dave,Baker,$2a$12$InpL8KeZW9W9Bzrf/SmVMeUtvZz8564te4xZhUTq0UM3Rn98nWn7S,dave.baker@intranet.com,1,0,0
6,KGreen50,Karen,Green,$2a$12$Dhn9gbSQ03cGt0YADsDvMeNh.4yO.GqhRP63fcCxDxVHxoEr8U8gu,karen.green@intranet.com,1,0,0
7,TTest123,test,test,$2a$12$NOwjDBlY.u9R9H9hEi7zMeYCFQWzVcHJJEfYLsgE38NKFlcOhGK.e,test@gmail.com,1,1,0
8,EUser42,Encrypted,User,$2a$12$l2yHTuMOgHXmAT2qm3JAke/crMhUUisov6o/qxlH3WP81OQAOIsRe,encrypted@user.com,1,0,0
9,admin,Admin,Admin,$2a$12$vOb5mc1DWEoCMJNAuMX1VOUxduhNNJH3d/vNNjNTcHlR5tJ.RANte,admin22@acme.com,1,1,0
10,user,user,user,$2a$12$wnvKtuWS4GYnsRNGq9mTnuiUMRwIuJthnhffFS5jHtdtrdefhkQh.,user@acme.com,1,0,0
11,role1,role1,role1,$2a$12$9ZeVy2w8wyjDkqvu8uYnKuY7r7WRj9yvkuDFi4upDomITgbPC9FkK,role1@gmail.com,1,0,0
12,role2,role2,role2,$2a$12$tYAj0BBj1T/wdeeo9ykGuO5bBfhcDqHt.D3dDaHjydlMDP4qoyhy.,role2@gmail.com,0,0,0
13,role3,role3,role3,$2a$12$J/OrBOxRzBJq/OXcu/SKneSISURLzDPT4xVoM2CmCIQku7vEKlXE2,role3@acme.com,1,0,0
14,role4,role4,role4,$2a$12$OGZCFBV70CC5hPjV79DIJeFgmShaRN3PFhlomUqJ8e6jC2S9rkuKW,role4@intranet.com,0,0,1
